lat;lon;slope_total_hujan_2021_2050;p_total_hujan_2021_2050;delta_total_hujan_2021_2050;slope_rx1day_2021_2050;p_rx1day_2021_2050;delta_rx1day_2021_2050;slope_rx5day_2021_2050;p_rx5day_2021_2050;delta_rx5day_2021_2050;slope_rx7day_2021_2050;p_rx7day_2021_2050;delta_rx7day_2021_2050;slope_rx10day_2021_2050;p_rx10day_2021_2050;delta_rx10day_2021_2050;slope_hari_hujan_1mm_2021_2050;p_hari_hujan_1mm_2021_2050;delta_hari_hujan_1mm_2021_2050;slope_hari_hujan_20mm_2021_2050;p_hari_hujan_20mm_2021_2050;delta_hari_hujan_20mm_2021_2050;slope_hari_hujan_50mm_2021_2050;p_hari_hujan_50mm_2021_2050;delta_hari_hujan_50mm_2021_2050;slope_hari_hujan_100mm_2021_2050;p_hari_hujan_100mm_2021_2050;delta_hari_hujan_100mm_2021_2050;slope_cwd_2021_2050;p_cwd_2021_2050;delta_cwd_2021_2050;slope_cdd_2021_2050;p_cdd_2021_2050;delta_cdd_2021_2050
-17.625;122.125;-5.724858761;0.318170335;9.94409;-0.24711382;0.577348075;-18.274006;-0.151693511;0.854348273;-57.088164;-0.191071297;0.845867467;-52.17975;-0.409424609;0.712881434;-55.99809;-0.329032258;0.392830176;16;-0.105005562;0.378538622;-6;-0.012458287;0.678094557;-4;-0.005116796;0.18872378;0;0.000444939;0.997362403;13;-0.197107898;0.75830022;-55
-17.625;122.375;-5.838173261;0.32529305;26.67886;-0.267134602;0.606507864;-16.82861;-0.273616797;0.771072392;-38.93692;-0.312629065;0.776823841;-38.60777;-0.551986806;0.649404775;-47.14906;-0.326807564;0.3928121;15;-0.15083426;0.203568583;-6;-0.012235818;0.676988108;-3;-0.004671858;0.477607663;0;0.019132369;0.892589334;14;-0.265406007;0.665599238;-55
-17.625;122.625;-5.642014229;0.327736336;47.12738;-0.213528188;0.679852375;-12.009893;-0.28080808;0.771235797;-31.690584;-0.279740025;0.80532518;-26.96397;-0.428296145;0.730373544;-35.52851;-0.311902113;0.430436062;16;-0.103448276;0.400667465;-2;0.013125695;0.637984559;-2;-0.006451613;0.324700813;0;-0.027363737;0.853852846;17;-0.076307008;0.889037519;-58
-17.625;122.875;-5.4108236;0.335270031;72.5692;-0.154477062;0.772412505;-6.46549;-0.247233895;0.808510449;-24.03931;-0.34045212;0.773119712;-16.36676;-0.221416178;0.862449411;-25.18046;-0.302558398;0.442018358;19;-0.106785317;0.360704869;-3;0.021579533;0.408699356;-2;-0.005339266;0.473794889;0;0.023359288;0.863353832;17;-0.035817575;0.945872767;-66
-17.625;123.125;-5.139165355;0.348397268;98.6351;-0.143521824;0.792279146;-6.459831;-0.21185768;0.84767008;-16.03382;-0.22069063;0.858620563;-7.58645;-0.121829978;0.926633987;-17.15501;-0.287208009;0.44812504;17;-0.084093437;0.457861437;-3;0.015572859;0.461062466;-1;-0.005339266;0.473794889;0;0.03403782;0.786141674;11;0.022914349;0.968311452;-65
-17.625;123.375;-5.021040994;0.3549706;124.68905;-0.162307616;0.775299787;-5.806739;-0.108397973;0.927514282;-11.724676;-0.127377102;0.923062406;1.10223;-0.049768444;0.971702414;-9.16086;-0.237374861;0.510505757;15;-0.126807564;0.248027524;-5;0.008008899;0.74470566;0;-0.002447164;0.765463891;0;-0.017575083;0.883197693;6;0.029143493;0.959436361;-65
-17.625;123.625;-4.991818116;0.361442598;154.4433;-0.097445088;0.869037819;-3.577685;-0.021491139;0.986788051;-7.83907;-0.021523733;0.98787608;10.18909;0.11796657;0.937512177;-0.8373;-0.258286986;0.449037569;11;-0.144605117;0.199719436;-2;-0.005784205;0.820039369;0;0.001779755;0.839879639;0;-0.080311457;0.42982015;0;0.159510567;0.766700361;-45
-17.625;123.875;-5.177057364;0.344593841;168.98651;-0.044312008;0.938975694;-2.458668;-0.061705266;0.962209381;-4.88056;-0.036385624;0.9797421;13.80379;0.126136531;0.934793043;1.18188;-0.277419355;0.399967096;12;-0.144160178;0.188690952;0;-0.000667408;0.980682599;0;0.001779755;0.839879639;0;-0.073414905;0.44445506;0;-0.120355951;0.817950267;-38
-17.625;124.125;-5.516977319;0.30920491;167.1109;-0.006330921;0.990508131;-2.481178;-0.061590455;0.959779618;-2.92573;-0.117140992;0.932118905;13.11252;-0.021658635;0.988506362;-3.60179;-0.325250278;0.331257973;13;-0.143937709;0.188730546;2;0.002224694;0.933439271;0;0.000667408;0.935205628;0;-0.09810901;0.33268612;2;-0.184649611;0.770565066;-40
-17.625;124.375;-5.796752165;0.276252757;156.65927;0.056221384;0.908205535;-2.472298;-0.036251098;0.97443574;1.437574;-0.109334874;0.932434983;13.998964;-0.180627623;0.901330924;-8.13724;-0.297886541;0.375025861;12;-0.138820912;0.203554726;3;-0.013793103;0.539580897;0;0.006006674;0.359754083;0;-0.070077864;0.480749446;4;-0.212013348;0.749774477;-40
