Tanggal Posting;Nama Tampilan;Username;Teks Tweet;Retweets;Likes;Total Interaksi
20/02/2021;hykl's grl ~;@Solarbepolar;Di Jakarta lagi banjir padaan ya, kontras sm di Pekanbaru panas banget ya Allah, tapi bersyukur aja;0;0;0
21/02/2021;tes tes;@apaajaaaaaaa__;Kalo ke Jakarta teh ya banjir pas musim hujan, ya gerah kalo musim panas  bersyukur dpt kerja di Jatinangor walau kota kecil tapi nyaman;0;1;1
21/02/2021;𐙚;@enllameovv;loyo... jakarta panas banget...;0;0;0
21/02/2021;Ridho | super rarely active;@dozignn;Gerah betul, jakarta hareudanggg;0;0;0
22/02/2021;Ai Bismillah Arirang Jakarta VIP;@yoonmeowbit;Jakarta sama Depok panas banget banget;0;31;31
22/02/2021;vivi;@namuvihope;Iya ka ai gerah bgt:') ka ai org jakarta? Dimana kaaa.;0;0;0
22/02/2021;RAAANNNNN;@rnbdnt;Tasik panas banget tengah malem gini berasa sauna. Keringet ngucur Tasik rasa jakarta;0;0;0
23/02/2021;ferizandra;@ferizandra;Di Jakarta udah gerah lagi...;0;0;0
23/02/2021;syafa;@syafazianka;di Jakarta panas banget haduh;0;0;0
24/02/2021;cia;@bluericano;Jakarta pagi hari terpantau terang berawan yg dimana bikin cuaca dingin, tapi kalo gak nyalain kipas gerah tapi kalo dinyalain bikin selimutan;0;0;0
25/02/2021;Sab;@soursabby;jakarta gerah bgt geraaaah;0;0;0
26/02/2021;GOJEK on the street;@tonyjonatan2;Iya mas, betul....betul... Jadi ingat kenangan naik kereta ekonomi Matarmaja jurusan MALANG-Jakarta thn 2000an. Di dalam gerbong ada pengamen, jual asongan plus Full: Bau badan Asap rokok... + Gerah...Sumuk,;1;8;9
26/02/2021;rizal_dinyo;@acilthedinyo;Panas panas jakarta x pusat gerah..;0;0;0
26/02/2021;ip;@aipcllucria;panas banget jakarta jam segini.;0;0;0
26/02/2021;anu gerah;@ngrhGST;Pengen rasain riding subuh2 di jakarta;0;0;0
27/02/2021;Nico Valent Dwicahyo;@valent_nico;Jakarta panas banget *ngetwit dari singapura*;1;0;1
27/02/2021;Tong;@Fatahaw;Jakarta gerah bet;0;0;0
27/02/2021;penbadanbagusdankaya.udahgtuaj;@barliarx;Gilak jakarta panas banget ga kuat;0;0;0
27/02/2021;Firrr;@naravitdiver;KOK JAKARTA MALEM INI PANAS BANGET? ini aku doang apa gimana dah;0;0;0
27/02/2021;jasmine⁸ ✤ inactive;@ddalgiyuyu;wow panas banget  in jakarta it's like... really hot in the afternoon terus sore nya hujan deres sampai banjir;0;0;0
27/02/2021;⟭⟬ ⃢⃢⃢⃢⃢⃢;@_P0T4T0_;Jakarta ada rekayasa cuaca ga sik? Giliran ga hujan, rasanya jadi panas banget  Atuhlah gosah pake rekayasa cuaca segala. Buat bikin rekayasa cuaca ada duitnya, tapi buat pencegahan banjir gadak duitnya ya?;0;0;0
27/02/2021;.;@bunnyjaem__;tp jakarta juga sama, gerah bgt sumpah;0;0;0
28/02/2021;eLis L;@elis_lind;jadi, suhu panas jakarta siang ini puncaknya mencapai berapa derajat ya gais??;0;3;3
28/02/2021;nadiaaa;@mbagigi_;Jakarta panas banget pusing kepala gue;0;3;3
28/02/2021;Matchalatte;@dfzxXostrs;Musim panas gini, di Jakarta gabisa tidur di kasur. Panas banget  Kaum menengah kebawah tanpa ac rasanya kaya sauna;0;1;1
28/02/2021;@daisyoft;@daisyoft;Lumayan tebel kok, buat aku yg tinggal di jakarta pas pake ini ngerasa gerah banget wkwk rapi kok cuma harus hati2 soalnya lumayan gampang ketarik klo kena benda yg kasar gitu;0;0;0
28/02/2021;• ta •;@onesidedlust;Relakan ajah, kak. Bekasi Jakarta panas gerah, jadi rambutnya botak setengah sih aku gamasalah..;0;0;0
28/02/2021;yans;@Sptynrrrr;Jakarta lg knpa si, gerah bgt;0;0;0
28/02/2021;Tri Sitorus;@AdekTrii;Hari ini jakarta panas banget;0;0;0
28/02/2021;C;@vouyageer;JAKARTA LU PANAS BANGET YA ALLAH;0;0;0
28/02/2021;bit;@cubitski;Subhanallah Jakarta gerah banget;0;0;0
28/02/2021;Smitty Werben Man Jensen;@SmittyW09418775;Min  @_TNIAU  mau tanya, cuaca Jakarta masih dimodifikasih kah? Atau sudah natural? Tolonglah kalo masih dimodifikasi, jangan terlalu ekstrem, panas banget tadi siang ampe kayak orang bodoh;0;0;0
28/02/2021;Yᵤₙᵢ Aₙₙᵢₛₐₐ ₐzzₐₕᵣₐ;@YuniBoement;Kirain Jakarta. Soalnya dr siang cuaca panas bgt, Tp blm ujan2.;0;0;0
28/02/2021;ico;@ricottttt;jakarta dr kmarin panas banget;0;0;0
28/02/2021;muf;@strlghtxx;Demiapapun jakarta panas banget hari ini asli dah;0;0;0
28/02/2021;ً;@justweirdocat;Jakarta akhir2 ini kok panas banget yaa;0;0;0
01/03/2021;.;@DXhu1233;Jakarta panas banget sih yaa;0;5;5
01/03/2021;Satriana Arya P;@satrianarya_;Kenapa hari ini jakarta panas banget;0;1;1
01/03/2021;Lada Hitam;@MissLadaHitam;It's not just you. Jakarta emang gerah banget dr kemaren. Udah berasa ky musim panas lagi;0;0;0
01/03/2021;JakeBenz;@renjuninjeong;YaAllah Jakarta panas banget gasih?;0;0;0
01/03/2021;rham / concert ticketing & rent HP;@rhahmaaa;Jakarta gerah bgt apa kipas gua  jelek;0;0;0
01/03/2021;ananda;@anandabutsecond;jakarta kenapa panas banget yaallah gue pusing;0;0;0
01/03/2021;ara;@feveryunho;jakarta kenapa panas banget sih YA TUHAAAN;0;0;0
01/03/2021;ᴍᴜʜᴀᴍᴍᴀᴅ ᴋᴇᴍᴀʟ ᴀʀᴢᴀꪇ ᴀᴋʙᴀʀ;@Karzaqakbar;Jakarta Panas Banget Hari Ini, Mau Pindah Ke Mars Aja Jadinya;0;0;0
01/03/2021;val | ngilang orangnya;@vllxaataee;Kenapa akhir-akhir ini Jakarta panas banget yak???;0;0;0
01/03/2021;☆;@wonpilhukum;jakarta panas banget;0;0;0
01/03/2021;exoxo;@sofsovsop;Jam segini jakarta panas banget udahh kaya di ntt;0;0;0
01/03/2021;fan 판 凡;@fleuringarden;apa gak bisa cuaca di jakarta kayak di lembang gitu? panas banget:(((;0;0;0
01/03/2021;Mori;@Endovelicuss;Jakarta menuju Bandung panas banget;0;0;0
01/03/2021;caw;@inominggo;hari ini udh mandi 3x alias gerah banget jakarta ya tuhan....;0;0;0
01/03/2021;wndsnt;@windapedia;Jakarta panas banget hari ini. Harusnya tadi jemurin kasurrr;0;0;0
02/03/2021;Say So;@abang_gembull;Jakarta kok panas banget ya hari ini, padahal mendung;0;3;3
02/03/2021;payeaiuo;@fourtooth;gerah banget aaaa jakarta;0;0;0
02/03/2021;kiri;@_oscaroasis8;keluar malem malem di jakarta gak ada dingin dinginnya banget, gerah;0;0;0
02/03/2021;PP;@_prispris;Jakarta bagian gerah banget;0;0;0
03/03/2021;caw;@inominggo;panas banget jakarta ketimpahan abu dr neraka kayanya;0;0;0
03/03/2021;atamaitai;@narhamidnaffa;Panas banget jakarta. Berasa si bali lengket sebadan2.;0;0;0
03/03/2021;rainy;@raemints;Wkwkwk di jakarta banyak awan kalo lagi panas banget tapi pas musim penghujan (?);0;0;0
04/03/2021;indah nuria savitri;@indahnuria;kenapa rasanya #jakarta gerah terus yaaa... jam segini mandi lagi biar segeeer  @RFra75  @lilisdikdik;0;0;0
04/03/2021;@cliteratures;@cliteratures;Jakarta panas banget woy padahal kemaren aku ngeluh dingin mulu;0;0;0
04/03/2021;sil;@sgcutiie;oh ya? km dom mana emang? di jakarta akhir² ini kalo siang panas banget. ujan nya baru malem;0;0;0
04/03/2021;Putri;@putriellasesi;Panas bgt jakarta hari ini, habis mandi aja masih gerah;0;0;0
05/03/2021;.;@DXhu1233;Jakarta panas banget;0;3;3
05/03/2021;s h e a n y;@yamkwetiau;I don't really get how some of us wear hoodies for #fashion with this HEAT AND HUMIDITY in Jakarta. Oke deh kalo bentaran karena cuaca atau emang tempatnya dingin (yang ACnya suka heboh sendiri) tapi most of the time apakah tydaq gerah?;0;1;1
05/03/2021;K;@vuhridity;enaknyaaa. di jakarta gerahhh bgt hari ini, padahal aku seharian indoor tapi gerah banget keringetan kayak kalo mau ujan gitu, hil.;0;0;0
05/03/2021;Science-Faith;@ermawanbb;JAKARTA PANAS BANGET GOBLOGGG;0;0;0
05/03/2021;alfo;@naufalfarrazg;Tiap malem ngerasa gerah bat udah 10 hari ini. Dan selama itu pula udah ngerasain malem di Bandung, Bogor, Jakarta, Cimahi. Tetep aja gerah panas banget, apalagi pas tidur. Padahal hujan teros :||||;0;0;0
06/03/2021;alpha-;@alohasunss;Gerah banget jakarta, puncak enak ni dingin;0;0;0
07/03/2021;อัชยารูอาร์ | Deactive Account;@Aleloghy;Perasaan 10 menit lalu panas banget. Dan sekarang tiba-tiba hujan deras.  Cuaca Jakarta emang suka bercanda.;1;3;4
08/03/2021;Ardnpspt;@Ardnpspt1;JAKARTA PANAS BANGET YA ALLAH JIM;0;0;0
08/03/2021;Tian;@lajangdanjalang;Jakarta panas banget siang ini..;0;0;0
